Company,TypeName,Inches,Cpu,Ram,Gpu,Weight,IsFullHD,IsIPS,IsTouchscreen,IsRetina,ResolutionWidth,ResolutionHeight,IsHDD,IsSSD,IsFlashStorage,FlashStorage,MemorySizeHDD_TB,MemorySizeHDD_GB,MemorySizeSSD,CpuSpeed,CpuBrand,GpuBrand,OperatingSystem
16,3,14.0,68,8,47,1.95,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.3,1,2,3
10,3,15.6,83,8,61,2.05,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,1.6,1,2,3
7,1,15.6,102,8,75,2.62,1,1,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.8,1,3,3
7,0,13.3,106,8,61,1.29,0,1,1,0,3840,2160,0,1,0,0.0,0.0,0.0,512.0,1.8,1,2,3
10,3,15.6,74,8,53,2.3,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,2,3
7,3,15.6,83,4,53,2.1,1,1,0,0,1920,1080,1,0,0,0.0,0.0,500.0,0.0,1.6,1,2,3
4,3,15.6,79,8,53,1.9,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.8,1,2,3
4,4,15.6,83,8,72,1.9,1,1,0,0,1920,1080,1,1,0,0.0,1.0,0.0,128.0,1.6,1,3,3
4,4,13.3,106,8,61,1.2,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,1.8,1,2,3
4,3,15.6,83,4,7,2.2,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,1.6,1,0,3
2,1,17.3,92,16,93,4.3,1,1,0,0,1920,1080,1,1,0,0.0,1.0,0.0,512.0,2.6,1,3,3
10,3,15.6,74,8,53,2.2,1,0,0,0,1920,1080,1,0,0,0.0,2.0,0.0,0.0,2.5,1,2,0
10,3,17.3,74,8,53,2.8,0,0,0,0,1600,900,1,0,0,0.0,1.0,0.0,0.0,2.5,1,2,0
4,3,15.6,102,16,75,2.06,0,0,1,0,3840,2160,0,1,0,0.0,0.0,0.0,0.0,2.8,1,3,3
0,3,15.6,102,8,75,2.4,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.8,1,3,1
7,3,15.6,10,4,6,1.91,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,0,0,3
16,3,15.6,59,4,53,2.0,0,0,0,0,1366,768,1,0,0,0.0,0.0,500.0,0.0,2.4,1,2,3
2,3,17.3,74,8,86,2.69,1,0,0,0,1920,1080,1,1,0,0.0,0.0,500.0,256.0,2.5,1,3,3
10,3,17.3,68,8,21,3.0,0,0,0,0,1600,900,1,0,0,0.0,0.0,0.0,0.0,2.3,1,0,3
7,5,15.6,102,8,103,3.14,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.8,1,3,3
4,4,13.3,89,8,47,1.3,0,0,0,0,3200,1800,0,1,0,0.0,0.0,0.0,256.0,2.5,1,2,3
11,1,17.3,102,16,79,2.8,1,0,0,0,1920,1080,1,1,0,0.0,1.0,0.0,256.0,2.8,1,3,3
7,3,15.6,106,16,61,2.1,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,512.0,1.8,1,2,3
0,3,15.6,74,6,53,2.23,0,0,0,0,1366,768,1,0,0,0.0,1.0,0.0,0.0,2.5,1,2,3
7,3,13.3,97,8,53,1.49,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.7,1,2,3
2,1,17.3,26,8,37,3.2,1,0,0,0,1920,1080,1,1,0,0.0,1.0,0.0,256.0,3.0,0,0,3
11,1,17.3,93,16,93,3.78,1,1,0,0,1920,1080,1,1,0,0.0,1.0,0.0,256.0,2.7,1,3,3
10,3,15.6,0,6,18,2.4,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.4,0,0,3
4,3,15.6,112,4,40,2.2,0,0,0,0,1366,768,1,0,0,0.0,0.0,500.0,0.0,1.6,1,2,3
4,3,15.6,74,8,22,2.18,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,0,3
10,3,14.0,40,4,41,1.5,0,0,0,0,1366,768,0,0,1,16.0,0.0,0.0,0.0,1.6,1,2,0
4,3,15.6,83,8,6,2.13,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,1.6,1,0,3
7,3,15.6,97,8,53,2.04,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.7,1,2,3
10,3,15.6,91,8,47,2.3,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.6,1,2,3
4,3,15.6,56,4,24,2.2,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.0,1,0,3
2,3,14.0,37,4,43,1.5,1,0,0,0,1920,1080,0,0,1,32.0,0.0,0.0,0.0,1.1,1,2,3
7,3,17.3,74,6,6,2.71,1,1,0,0,1920,1080,1,0,0,0.0,2.0,0.0,0.0,2.5,1,0,3
0,3,15.6,97,12,53,2.15,1,1,1,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.7,1,2,3
1,4,15.4,85,16,9,1.83,0,1,0,1,2880,1800,0,1,0,0.0,0.0,0.0,512.0,2.7,1,0,2
9,4,14.0,97,8,53,0.98,1,1,1,0,1920,1080,0,1,0,0.0,0.0,0.0,512.0,2.7,1,2,3
10,3,15.6,68,8,21,2.5,1,0,0,0,1920,1080,0,0,0,0.0,0.0,0.0,0.0,2.3,1,0,3
4,3,15.6,74,4,40,2.25,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.5,1,2,3
2,0,15.6,97,12,74,2.26,1,0,1,0,1920,1080,1,1,0,0.0,2.0,0.0,512.0,2.7,1,3,3
7,3,15.6,83,4,61,2.04,0,0,1,0,1366,768,1,0,0,0.0,1.0,0.0,0.0,1.6,1,2,3
7,3,15.6,2,6,7,1.91,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,128.0,2.5,0,0,3
4,3,15.6,74,4,24,2.3,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,0,3
7,3,13.3,83,4,61,1.49,1,1,0,0,1920,1080,1,0,0,0.0,0.0,500.0,0.0,1.6,1,2,3
2,3,15.6,92,12,48,2.06,0,1,0,0,3840,2160,1,1,0,0.0,1.0,0.0,128.0,2.6,1,2,3
